gisjoin,fips,adi_natrank,adi_staternk
G37005301101011,370531101011,18,1
G37005301101012,370531101012,9,1
G37005301101021,370531101021,47,4
G37005301102001,370531102001,41,3
G37005301102002,370531102002,23,1
G37005301103011,370531103011,52,4
G37005301103012,370531103012,17,1
G37005301103021,370531103021,34,2
G37005301103022,370531103022,68,6
G37005301104011,370531104011,41,3
G37005301104012,370531104012,59,5
G37005301104021,370531104021,29,2
G37005301104022,370531104022,36,2
G37005509701011,370559701011,9,1
G37005509701012,370559701012,11,1
G37005509701021,370559701021,24,2
G37005509701022,370559701022,28,2
G37005509702001,370559702001,57,5
G37005509702002,370559702002,29,2
G37005509702003,370559702003,40,3
G37005509702004,370559702004,27,2
G37005509703001,370559703001,29,2
G37005509703002,370559703002,29,2
G37005509703003,370559703003,35,2
G37005509703004,370559703004,37,3
G37005509704001,370559704001,21,1
G37005509704002,370559704002,25,2
G37005509704003,370559704003,22,1
G37005509705011,370559705011,55,5
G37005509705021,370559705021,38,3
G37005509705022,370559705022,36,2
G37005509705023,370559705023,14,1
G37005509706011,370559706011,25,2
G37005509706012,370559706012,40,3
G37005509706013,370559706013,42,3
G37005509706014,370559706014,23,1
G37005509706021,370559706021,50,4
G37005700601011,370570601011,54,4
G37005700601012,370570601012,69,6
G37005700601021,370570601021,24,2
G37005700601022,370570601022,45,3
G37005700601023,370570601023,39,3
G37005700601024,370570601024,46,3
G37005700602011,370570602011,49,4
G37005700602012,370570602012,71,7
G37005700602013,370570602013,42,3
G37005700602014,370570602014,60,5
G37005700602021,370570602021,57,5
G37005700602031,370570602031,39,3
G37005700602032,370570602032,55,5
G37005700602033,370570602033,57,5
G37005700603011,370570603011,42,3
G37005700603012,370570603012,34,2
G37005700603021,370570603021,44,3
G37005700603022,370570603022,74,7
G37005700603031,370570603031,43,3
G37005700603032,370570603032,60,5
G37005700603041,370570603041,39,3
G37005700603042,370570603042,97,10
G37005700604001,370570604001,42,3
G37005700604002,370570604002,61,5
G37005700604003,370570604003,42,3
G37005700605001,370570605001,32,2
G37005700605002,370570605002,50,4
G37005700605003,370570605003,95,10
G37005700605004,370570605004,59,5
G37005700606011,370570606011,61,5
G37005700606012,370570606012,37,3
G37005700606021,370570606021,32,2
G37005700606022,370570606022,75,7
G37005700607001,370570607001,73,7
G37005700607002,370570607002,100,10
G37005700607003,370570607003,50,4
G37005700607004,370570607004,76,8
G37005700608001,370570608001,91,10
G37005700608002,370570608002,86,9
G37005700608003,370570608003,69,6
G37005700609001,370570609001,68,6
G37005700609002,370570609002,85,9
G37005700609003,370570609003,80,8
G37005700609004,370570609004,83,9
G37005700609005,370570609005,69,6
G37005700610001,370570610001,78,8
G37005700610002,370570610002,59,5
G37005700610003,370570610003,86,9
G37005700611001,370570611001,86,9
G37005700611002,370570611002,58,5
G37005700611003,370570611003,69,6
G37005700611004,370570611004,50,4
G37005700611005,370570611005,53,4
G37005700612011,370570612011,77,8
G37005700612012,370570612012,74,7
G37005700612013,370570612013,72,7
G37005700612014,370570612014,98,10
G37005700612021,370570612021,53,4
G37005700612022,370570612022,58,5
G37005700613001,370570613001,51,4
G37005700613002,370570613002,87,9
G37005700614002,370570614002,93,10
G37005700614003,370570614003,94,10
G37005700614004,370570614004,91,10
G37005700615001,370570615001,93,10
G37005700615002,370570615002,63,6
G37005700615003,370570615003,71,7
G37005700615004,370570615004,89,9
G37005700616001,370570616001,80,8
G37005700616002,370570616002,82,8
G37005700616003,370570616003,84,9
G37005700617011,370570617011,48,4
G37005700617012,370570617012,50,4
G37005700617013,370570617013,79,8
G37005700617021,370570617021,73,7
G37005700617022,370570617022,63,6
G37005700617023,370570617023,68,6
G37005700617024,370570617024,63,6
G37005700617031,370570617031,63,6
G37005700617032,370570617032,55,5
G37005700617033,370570617033,59,5
G37005700618021,370570618021,57,5
G37005700618022,370570618022,55,5
G37005700618023,370570618023,58,5
G37005700618024,370570618024,68,6
G37005700618031,370570618031,81,8
G37005700618032,370570618032,69,6
G37005700618033,370570618033,67,6
G37005700618034,370570618034,60,5
G37005700618041,370570618041,32,2
G37005700618042,370570618042,41,3
G37005700618043,370570618043,89,9
G37005700618044,370570618044,70,7
G37005700618045,370570618045,50,4
G37005700619011,370570619011,62,6
G37005700619012,370570619012,81,8
G37005700619013,370570619013,76,8
G37005700619021,370570619021,63,6
G37005700619022,370570619022,58,5
G37005700619023,370570619023,76,8
G37005700620011,370570620011,61,5
G37005700620012,370570620012,61,5
G37005700620013,370570620013,54,4
G37005700620021,370570620021,98,10
G37005700620022,370570620022,82,8
G37005700620023,370570620023,61,5
G37005700620024,370570620024,71,7
G37005900801001,370590801001,74,7
G37005900801002,370590801002,54,4
G37005900801003,370590801003,59,5
G37005900801004,370590801004,60,5
G37005900802001,370590802001,37,3
G37005900802002,370590802002,40,3
G37005900802003,370590802003,33,2
G37005900802004,370590802004,33,2
G37005900803001,370590803001,24,2
G37005900803002,370590803002,14,1
G37005900803003,370590803003,37,3
G37005900803004,370590803004,36,2
G37005900804001,370590804001,39,3
G37005900804002,370590804002,25,2
G37005900804003,370590804003,47,4
G37005900805001,370590805001,77,8
G37005900805002,370590805002,53,4
G37005900805003,370590805003,58,5
G37005900806001,370590806001,55,5
G37005900806002,370590806002,52,4
G37005900806003,370590806003,56,5
G37005900807001,370590807001,84,9
G37005900807002,370590807002,78,8
G37005900807003,370590807003,68,6
G37005900807004,370590807004,70,7
G37006100901001,370610901001,87,9
G37006100901002,370610901002,91,10
G37006100901003,370610901003,62,6
G37006100901004,370610901004,75,7
G37006100902001,370610902001,83,9
G37006100902002,370610902002,77,8
G37006100902003,370610902003,81,8
G37006100903001,370610903001,89,9
G37006100903002,370610903002,81,8
G37006100903003,370610903003,84,9
G37006100903004,370610903004,82,8
G37006100904001,370610904001,61,5
G37006100904002,370610904002,78,8
G37006100904003,370610904003,72,7
G37006100904004,370610904004,82,8
G37006100905011,370610905011,48,4
G37006100905012,370610905012,69,6
G37006100905013,370610905013,81,8
G37006100905021,370610905021,85,9
G37006100905022,370610905022,62,6
G37006100905023,370610905023,78,8
G37006100906001,370610906001,82,8
G37006100906002,370610906002,81,8
G37006100906003,370610906003,85,9
G37006100907011,370610907011,88,9
G37006100907012,370610907012,47,4
G37006100907021,370610907021,73,7
G37006100907022,370610907022,80,8
G37006100907023,370610907023,64,6
G37006100908011,370610908011,83,9
G37006100908012,370610908012,83,9
G37006100908021,370610908021,85,9
G37006100908022,370610908022,88,9
G37006100908023,370610908023,81,8
G37006300001011,370630001011,68,6
G37006300001012,370630001012,76,8
G37006300001021,370630001021,66,6
G37006300001022,370630001022,56,5
G37006300002001,370630002001,75,7
G37006300002002,370630002002,58,5
G37006300002003,370630002003,38,3
G37006300003011,370630003011,78,8
G37006300003012,370630003012,64,6
G37006300003013,370630003013,31,2
G37006300003021,370630003021,32,2
G37006300003022,370630003022,33,2
G37006300003023,370630003023,20,1
G37006300004011,370630004011,32,2
G37006300004012,370630004012,23,1
G37006300004013,370630004013,24,2
G37006300004021,370630004021,40,3
G37006300005001,370630005001,100,10
G37006300005002,370630005002,52,4
G37006300005003,370630005003,85,9
G37006300005004,370630005004,71,7
G37006300006001,370630006001,52,4
G37006300006002,370630006002,35,2
G37006300006003,370630006003,11,1
G37006300007001,370630007001,44,3
G37006300007002,370630007002,22,1
G37006300007003,370630007003,36,2
G37006300009001,370630009001,87,9
G37006300009002,370630009002,90,9
G37006300010011,370630010011,80,8
G37006300010012,370630010012,85,9
G37006300010013,370630010013,86,9
G37006300010021,370630010021,90,9
G37006300010022,370630010022,87,9
G37006300010023,370630010023,88,9
G37006300010024,370630010024,96,10
G37006300011001,370630011001,89,9
G37006300011002,370630011002,91,10
G37006300013011,370630013011,84,9
G37006300013032,370630013032,69,6
G37006300013041,370630013041,84,9
G37006300014001,370630014001,86,9
G37006300014002,370630014002,96,10
G37006300015021,370630015021,98,10
G37006300015022,370630015022,97,10
G37006300015023,370630015023,98,10
G37006300015024,370630015024,100,10
G37006300016011,370630016011,26,2
G37006300016012,370630016012,37,3
G37006300016013,370630016013,36,2
G37006300016031,370630016031,46,3
G37006300016032,370630016032,36,2
G37006300016033,370630016033,45,3
G37006300016034,370630016034,20,1
G37006300016041,370630016041,34,2
G37006300016042,370630016042,19,1
G37006300016043,370630016043,28,2
G37006300017051,370630017051,44,3
G37006300017052,370630017052,42,3
G37006300017053,370630017053,48,4
G37006300017061,370630017061,39,3
G37006300017062,370630017062,46,3
G37006300017071,370630017071,24,2
G37006300017072,370630017072,38,3
G37006300017073,370630017073,31,2
G37006300017074,370630017074,35,2
G37006300017075,370630017075,10,1
G37006300017081,370630017081,48,4
G37006300017091,370630017091,95,10
G37006300017092,370630017092,81,8
G37006300017093,370630017093,82,8
G37006300017101,370630017101,55,5
G37006300017102,370630017102,70,7
G37006300017111,370630017111,59,5
G37006300017112,370630017112,76,8
G37006300017113,370630017113,81,8
G37006300018011,370630018011,35,2
G37006300018012,370630018012,68,6
G37006300018013,370630018013,53,4
G37006300018014,370630018014,80,8
G37006300018015,370630018015,49,4
G37006300018021,370630018021,67,6
G37006300018022,370630018022,55,5
G37006300018023,370630018023,75,7
G37006300018024,370630018024,96,10
G37006300018061,370630018061,57,5
G37006300018062,370630018062,41,3
G37006300018071,370630018071,69,6
G37006300018072,370630018072,48,4
G37006300018073,370630018073,44,3
G37006300018081,370630018081,29,2
G37006300018082,370630018082,23,1
G37006300018091,370630018091,48,4
G37006300018092,370630018092,32,2
G37006300019001,370630019001,36,2
G37006300019002,370630019002,31,2
G37006300020071,370630020071,26,2
G37006300020072,370630020072,35,2
G37006300020073,370630020073,23,1
G37006300020081,370630020081,5,1
G37006300020082,370630020082,7,1
G37006300020091,370630020091,72,7
G37006300020092,370630020092,68,6
G37006300020093,370630020093,74,7
G37006300020131,370630020131,50,4
G37006300020132,370630020132,50,4
G37006300020133,370630020133,31,2
G37006300020151,370630020151,52,4
G37006300020152,370630020152,22,1
G37006300020153,370630020153,83,9
G37006300020161,370630020161,95,10
G37006300020162,370630020162,57,5
G37006300020171,370630020171,15,1
G37006300020172,370630020172,25,2
G37006300020173,370630020173,25,2
G37006300020181,370630020181,9,1
G37006300020182,370630020182,55,5
G37006300020183,370630020183,12,1
G37006300020191,370630020191,12,1
G37006300020192,370630020192,33,2
G37006300020193,370630020193,19,1
G37006300020201,370630020201,10,1
G37006300020202,370630020202,11,1
G37006300020211,370630020211,37,3
G37006300020212,370630020212,25,2
G37006300020221,370630020221,47,4
G37006300020222,370630020222,29,2
G37006300020231,370630020231,36,2
G37006300020232,370630020232,22,1
G37006300020241,370630020241,21,1
G37006300020242,370630020242,56,5
G37006300020243,370630020243,40,3
G37006300020251,370630020251,27,2
G37006300020252,370630020252,44,3
G37006300020253,370630020253,48,4
G37006300020261,370630020261,73,7
G37006300020262,370630020262,52,4
G37006300020271,370630020271,52,4
G37006300020272,370630020272,47,4
G37006300020273,370630020273,89,9
G37006300020281,370630020281,34,2
G37006300020282,370630020282,86,9
G37006300020283,370630020283,40,3
G37006300021001,370630021001,18,1
G37006300021002,370630021002,24,2
G37006300021003,370630021003,26,2
G37006300022001,370630022001,29,2
G37006300023002,370630023002,100,10
G37006500202001,370650202001,93,10
G37006500202002,370650202002,97,10
G37006500202003,370650202003,90,9
G37006500202004,370650202004,87,9
G37006500202005,370650202005,93,10
G37006500202006,370650202006,76,8
G37006500203001,370650203001,88,9
G37006500203002,370650203002,92,10
G37006500203003,370650203003,75,7
G37006500203004,370650203004,71,7
G37006500204001,370650204001,96,10
G37006500204002,370650204002,76,8
G37006500204003,370650204003,92,10
G37006500204004,370650204004,83,9
G37006500204005,370650204005,78,8
G37006500206001,370650206001,86,9
G37006500206002,370650206002,89,9
G37006500207001,370650207001,86,9
G37006500207002,370650207002,68,6
G37006500208001,370650208001,80,8
G37006500208002,370650208002,73,7
G37006500208003,370650208003,87,9
G37006500209001,370650209001,90,9
G37006500209002,370650209002,82,8
G37006500209003,370650209003,84,9
G37006500210001,370650210001,85,9
G37006500210002,370650210002,81,8
G37006500210003,370650210003,61,5
G37006500210004,370650210004,76,8
G37006500211001,370650211001,88,9
G37006500211002,370650211002,94,10
G37006500211003,370650211003,76,8
G37006500212001,370650212001,83,9
G37006500212002,370650212002,75,7
G37006500212003,370650212003,89,9
G37006500212004,370650212004,60,5
G37006500213001,370650213001,64,6
G37006500213002,370650213002,81,8
G37006500213003,370650213003,72,7
G37006500214001,370650214001,77,8
G37006500214002,370650214002,80,8
G37006500215001,370650215001,78,8
G37006500215002,370650215002,91,10
G37006500215003,370650215003,79,8
G37006500216001,370650216001,83,9
G37006500216002,370650216002,77,8
G37006500216003,370650216003,55,5
G37006700003011,370670003011,93,10
G37006700003021,370670003021,95,10
G37006700004001,370670004001,93,10
G37006700004002,370670004002,81,8
G37006700004003,370670004003,90,9
G37006700005001,370670005001,99,10
G37006700005002,370670005002,96,10
G37006700005003,370670005003,95,10
G37006700006001,370670006001,93,10
G37006700006002,370670006002,90,9
G37006700007001,370670007001,91,10
G37006700007002,370670007002,100,10
G37006700008012,370670008012,100,10
G37006700008021,370670008021,88,9
G37006700008022,370670008022,97,10
G37006700009001,370670009001,82,8
G37006700009002,370670009002,91,10
G37006700009003,370670009003,64,6
G37006700010001,370670010001,66,6
G37006700010002,370670010002,71,7
G37006700010003,370670010003,59,5
G37006700010004,370670010004,43,3
G37006700011001,370670011001,59,5
G37006700011002,370670011002,41,3
G37006700011003,370670011003,45,3
G37006700012001,370670012001,90,9
G37006700012002,370670012002,13,1
G37006700013003,370670013003,35,2
G37006700014001,370670014001,86,9
G37006700014002,370670014002,88,9
G37006700015001,370670015001,90,10
G37006700015002,370670015002,68,6
G37006700015003,370670015003,94,10
G37006700016011,370670016011,73,7
G37006700016012,370670016012,79,8
G37006700016013,370670016013,80,8
G37006700016021,370670016021,97,10
G37006700016022,370670016022,84,9
G37006700017001,370670017001,95,10
G37006700017002,370670017002,96,10
G37006700017003,370670017003,88,9
G37006700017004,370670017004,99,10
G37006700017005,370670017005,55,5
G37006700018001,370670018001,90,10
G37006700018002,370670018002,98,10
G37006700018003,370670018003,93,10
G37006700018004,370670018004,83,9
G37006700019011,370670019011,93,10
G37006700019021,370670019021,78,8
G37006700019022,370670019022,53,4
G37006700020011,370670020011,80,8
G37006700020012,370670020012,83,9
G37006700020021,370670020021,82,8
G37006700020022,370670020022,83,9
G37006700021001,370670021001,59,5
G37006700021002,370670021002,53,4
G37006700022001,370670022001,52,4
G37006700022002,370670022002,57,5
G37006700022003,370670022003,31,2
G37006700025011,370670025011,10,1
G37006700025012,370670025012,5,1
G37006700025013,370670025013,3,1
G37006700025021,370670025021,17,1
G37006700025022,370670025022,4,1
G37006700026011,370670026011,42,3
G37006700026012,370670026012,7,1
G37006700026031,370670026031,52,4
G37006700026032,370670026032,53,4
G37006700026033,370670026033,37,3
G37006700026034,370670026034,39,3
G37006700026041,370670026041,79,8
G37006700026042,370670026042,44,3
G37006700026043,370670026043,14,1
G37006700026044,370670026044,10,1
G37006700027011,370670027011,78,8
G37006700027012,370670027012,84,9
G37006700027013,370670027013,72,7
G37006700027021,370670027021,71,7
G37006700027022,370670027022,99,10
G37006700027023,370670027023,99,10
G37006700027024,370670027024,60,5
G37006700027031,370670027031,99,10
G37006700027032,370670027032,64,6
G37006700027033,370670027033,72,7
G37006700027034,370670027034,99,10
G37006700028011,370670028011,46,3
G37006700028012,370670028012,66,6
G37006700028013,370670028013,41,3
G37006700028041,370670028041,56,5
G37006700028042,370670028042,58,5
G37006700028043,370670028043,72,7
G37006700028061,370670028061,64,6
G37006700028062,370670028062,69,6
G37006700028071,370670028071,60,5
G37006700028072,370670028072,54,4
G37006700028073,370670028073,66,6
G37006700028081,370670028081,59,5
G37006700028082,370670028082,46,3
G37006700028091,370670028091,48,4
G37006700028092,370670028092,46,3
G37006700029011,370670029011,80,8
G37006700029012,370670029012,73,7
G37006700029013,370670029013,51,4
G37006700029031,370670029031,92,10
G37006700029032,370670029032,82,8
G37006700029033,370670029033,68,6
G37006700029034,370670029034,63,6
G37006700029041,370670029041,64,6
G37006700029042,370670029042,59,5
G37006700030021,370670030021,79,8
G37006700030022,370670030022,59,5
G37006700030023,370670030023,56,5
G37006700030031,370670030031,68,6
G37006700030032,370670030032,51,4
G37006700030041,370670030041,59,5
G37006700030042,370670030042,18,1
G37006700031031,370670031031,28,2
G37006700031032,370670031032,38,3
G37006700031033,370670031033,29,2
G37006700031051,370670031051,77,8
G37006700031052,370670031052,46,3
G37006700031061,370670031061,41,3
G37006700031062,370670031062,40,3
G37006700031071,370670031071,84,9
G37006700031072,370670031072,39,3
G37006700031081,370670031081,57,5
G37006700031082,370670031082,73,7
G37006700032011,370670032011,24,2
G37006700032012,370670032012,24,2
G37006700032013,370670032013,64,6
G37006700032014,370670032014,77,8
G37006700032021,370670032021,71,7
G37006700032022,370670032022,98,10
G37006700032023,370670032023,43,3
G37006700033071,370670033071,40,3
G37006700033072,370670033072,68,6
G37006700033081,370670033081,48,4
G37006700033082,370670033082,39,3
G37006700033083,370670033083,39,3
G37006700033084,370670033084,50,4
G37006700033091,370670033091,95,10
G37006700033092,370670033092,76,8
G37006700033093,370670033093,63,6
G37006700033101,370670033101,43,3
G37006700033102,370670033102,59,5
G37006700033111,370670033111,42,3
G37006700033121,370670033121,48,4
G37006700033131,370670033131,65,6
G37006700033141,370670033141,49,4
G37006700033142,370670033142,64,6
G37006700033151,370670033151,28,2
G37006700033152,370670033152,70,7
G37006700034021,370670034021,70,7
G37006700034022,370670034022,54,4
G37006700034031,370670034031,77,8
G37006700034032,370670034032,90,10
G37006700034041,370670034041,92,10
G37006700034042,370670034042,90,10
G37006700035001,370670035001,89,9
G37006700035002,370670035002,92,10
G37006700035003,370670035003,67,6
G37006700035004,370670035004,60,5
G37006700035005,370670035005,59,5
G37006700036001,370670036001,90,10
G37006700036002,370670036002,54,4
G37006700036003,370670036003,65,6
G37006700037011,370670037011,98,10
G37006700037012,370670037012,76,8
G37006700037013,370670037013,68,6
G37006700037021,370670037021,65,6
G37006700037022,370670037022,62,6
G37006700037023,370670037023,61,5
G37006700037031,370670037031,34,2
G37006700037032,370670037032,45,3
G37006700037033,370670037033,37,3
G37006700037034,370670037034,62,6
G37006700038031,370670038031,64,6
G37006700038032,370670038032,53,4
G37006700038041,370670038041,67,6
G37006700038042,370670038042,53,4
G37006700038043,370670038043,51,4
G37006700038051,370670038051,69,6
G37006700038052,370670038052,63,6
G37006700038053,370670038053,67,6
G37006700038054,370670038054,34,2
G37006700038061,370670038061,55,5
G37006700038062,370670038062,39,3
G37006700039031,370670039031,71,7
G37006700039032,370670039032,86,9
G37006700039033,370670039033,91,10
G37006700039041,370670039041,30,2
G37006700039042,370670039042,60,5
G37006700039043,370670039043,41,3
G37006700039044,370670039044,42,3
G37006700039051,370670039051,74,7
G37006700039052,370670039052,50,4
G37006700039061,370670039061,11,1
G37006700039062,370670039062,19,1
G37006700039063,370670039063,22,1
G37006700039081,370670039081,14,1
G37006700039082,370670039082,4,1
G37006700039091,370670039091,22,1
G37006700039092,370670039092,76,8
G37006700039093,370670039093,25,2
G37006700040051,370670040051,44,3
G37006700040052,370670040052,21,1
G37006700040053,370670040053,16,1
G37006700040071,370670040071,38,3
G37006700040072,370670040072,20,1
G37006700040073,370670040073,24,2
G37006700040074,370670040074,12,1
G37006700040091,370670040091,38,3
G37006700040092,370670040092,30,2
G37006700040101,370670040101,18,1
G37006700040102,370670040102,31,2
G37006700040103,370670040103,3,1
G37006700040111,370670040111,17,1
G37006700040112,370670040112,46,3
G37006700040113,370670040113,38,3
G37006700040121,370670040121,30,2
G37006700040122,370670040122,36,2
G37006700040123,370670040123,50,4
G37006700040124,370670040124,40,3
G37006700040131,370670040131,68,6
G37006700040132,370670040132,18,1
G37006700040141,370670040141,50,4
G37006700040142,370670040142,38,3
G37006700040151,370670040151,59,5
G37006700040152,370670040152,31,2
G37006700040153,370670040153,33,2
G37006700041021,370670041021,45,3
G37006700041022,370670041022,52,4
G37006700041031,370670041031,29,2
G37006700041032,370670041032,35,2
G37006700041041,370670041041,30,2
G37006700041042,370670041042,36,2
G37006700041043,370670041043,45,3
G37006900601001,370690601001,84,9
G37006900601002,370690601002,79,8
G37006900601003,370690601003,83,9
G37006900601004,370690601004,92,10
G37006900602001,370690602001,83,9
G37006900602002,370690602002,71,7
G37006900603011,370690603011,76,8
G37006900603012,370690603012,82,8
G37006900603013,370690603013,70,7
G37006900603021,370690603021,93,10
G37006900603022,370690603022,82,8
G37006900604011,370690604011,63,6
G37006900604021,370690604021,74,7
G37006900604022,370690604022,85,9
G37006900604023,370690604023,78,8
G37006900605011,370690605011,48,4
G37006900605012,370690605012,28,2
G37006900605021,370690605021,46,3
G37006900605022,370690605022,36,2
G37006900605023,370690605023,55,5
G37006900606001,370690606001,52,4
G37006900606002,370690606002,55,5
G37006900606003,370690606003,51,4
G37006900607001,370690607001,58,5
G37006900607002,370690607002,97,10
G37006900607003,370690607003,56,5
G37006900608011,370690608011,82,8
G37006900608012,370690608012,78,8
G37006900608021,370690608021,56,5
G37006900608022,370690608022,68,6
G37007100301011,370710301011,39,3
G37007100301012,370710301012,68,6
G37007100301013,370710301013,13,1
G37007100301021,370710301021,58,5
G37007100301022,370710301022,56,5
G37007100302031,370710302031,54,4
G37007100302032,370710302032,70,7
G37007100302041,370710302041,33,2
G37007100302042,370710302042,42,3
G37007100302051,370710302051,45,3
G37007100302052,370710302052,60,5
G37007100302053,370710302053,87,9
G37007100303011,370710303011,50,4
G37007100303012,370710303012,78,8
G37007100303021,370710303021,65,6
G37007100303022,370710303022,73,7
G37007100304011,370710304011,73,7
G37007100304012,370710304012,55,5
G37007100304021,370710304021,69,6
G37007100304022,370710304022,96,10
G37007100304023,370710304023,43,3
G37007100305011,370710305011,63,6
G37007100305012,370710305012,67,6
G37007100305021,370710305021,67,6
G37007100305022,370710305022,56,5
G37007100305023,370710305023,81,8
G37007100306011,370710306011,67,6
G37007100306012,370710306012,52,4
G37007100306021,370710306021,74,7
G37007100306022,370710306022,70,7
G37007100307001,370710307001,60,5
G37007100307002,370710307002,67,6
G37007100307003,370710307003,73,7
G37007100308011,370710308011,55,5
G37007100308012,370710308012,83,9
G37007100308021,370710308021,82,8
G37007100308022,370710308022,80,8
G37007100308023,370710308023,87,9
G37007100309011,370710309011,70,7
G37007100309012,370710309012,83,9
G37007100309021,370710309021,70,7
G37007100309022,370710309022,87,9
G37007100310011,370710310011,76,8
G37007100310012,370710310012,82,8
G37007100310013,370710310013,80,8
G37007100310031,370710310031,35,2
G37007100310032,370710310032,54,4
G37007100310041,370710310041,68,6
G37007100310042,370710310042,61,5
G37007100311011,370710311011,65,6
G37007100311012,370710311012,65,6
G37007100311021,370710311021,79,8
G37007100311022,370710311022,61,5
G37007100312011,370710312011,71,7
G37007100312012,370710312012,43,3
G37007100312021,370710312021,80,8
G37007100312022,370710312022,81,8
G37007100313011,370710313011,82,8
G37007100313012,370710313012,59,5
G37007100313021,370710313021,87,9
G37007100313022,370710313022,52,4
G37007100313023,370710313023,76,8
G37007100313024,370710313024,63,6
G37007100314011,370710314011,77,8
G37007100314012,370710314012,81,8
G37007100314021,370710314021,61,5
G37007100314022,370710314022,77,8
G37007100314023,370710314023,69,6
G37007100315001,370710315001,96,10
G37007100315002,370710315002,93,10
G37007100315003,370710315003,96,10
G37007100315004,370710315004,89,9
G37007100315005,370710315005,84,9
G37007100316001,370710316001,67,6
G37007100316002,370710316002,79,8
G37007100316003,370710316003,80,8
G37007100316004,370710316004,84,9
G37007100317011,370710317011,70,7
G37007100317012,370710317012,78,8
G37007100317013,370710317013,59,5
G37007100317031,370710317031,70,7
G37007100317032,370710317032,51,4
G37007100317041,370710317041,62,6
G37007100317042,370710317042,74,7
G37007100318001,370710318001,79,8
G37007100318002,370710318002,82,8
G37007100318003,370710318003,92,10
G37007100318004,370710318004,83,9
G37007100318005,370710318005,93,10
G37007100319001,370710319001,94,10
G37007100319002,370710319002,81,8
G37007100319003,370710319003,96,10
G37007100320001,370710320001,90,10
G37007100320002,370710320002,94,10
G37007100321001,370710321001,87,9
G37007100321002,370710321002,78,8
G37007100322001,370710322001,56,5
G37007100322002,370710322002,47,4
G37007100322003,370710322003,73,7
G37007100323011,370710323011,61,5
G37007100323012,370710323012,59,5
G37007100323013,370710323013,51,4
G37007100323021,370710323021,98,10
G37007100323022,370710323022,47,4
G37007100323023,370710323023,66,6
G37007100324011,370710324011,31,2
G37007100324012,370710324012,46,3
G37007100324013,370710324013,81,8
G37007100324014,370710324014,42,3
G37007100324021,370710324021,26,2
G37007100324022,370710324022,19,1
G37007100325021,370710325021,22,1
G37007100325022,370710325022,25,2
G37007100325051,370710325051,44,3
G37007100325052,370710325052,60,5
G37007100325061,370710325061,84,9
G37007100325062,370710325062,51,4
G37007100325071,370710325071,31,2
G37007100325072,370710325072,37,3
G37007100325081,370710325081,56,5
G37007100325082,370710325082,24,2
G37007100326001,370710326001,50,4
G37007100326002,370710326002,72,7
G37007100326003,370710326003,46,3
G37007100326004,370710326004,36,2
G37007100327021,370710327021,39,3
G37007100327031,370710327031,77,8
G37007100327032,370710327032,55,5
G37007100327033,370710327033,43,3
G37007100327041,370710327041,84,9
G37007100327042,370710327042,59,5
G37007100327043,370710327043,73,7
G37007100327044,370710327044,64,6
G37007100328001,370710328001,63,6
G37007100328002,370710328002,78,8
G37007100328003,370710328003,87,9
G37007100328004,370710328004,86,9
G37007100328005,370710328005,68,6
G37007100329001,370710329001,91,10
G37007100329002,370710329002,86,9
G37007100329003,370710329003,80,8
G37007100329004,370710329004,66,6
G37007100331001,370710331001,77,8
G37007100331002,370710331002,74,7
G37007100331003,370710331003,92,10
G37007100332021,370710332021,53,4
G37007100332031,370710332031,67,6
G37007100332032,370710332032,60,5
G37007100332033,370710332033,96,10
G37007100332041,370710332041,77,8
G37007100332042,370710332042,85,9
G37007100332043,370710332043,90,10
G37007100333031,370710333031,25,2
G37007100333032,370710333032,31,2
G37007100333041,370710333041,23,1
G37007100333042,370710333042,29,2
G37007100333043,370710333043,52,4
G37007100333051,370710333051,74,7
G37007100333052,370710333052,70,7
G37007100333053,370710333053,61,5
G37007100333061,370710333061,34,2
G37007100333071,370710333071,48,4
G37007100333072,370710333072,60,5
G37007100334001,370710334001,76,8
G37007100334002,370710334002,91,10
G37007100334003,370710334003,88,9
G37007100335001,370710335001,39,3
G37007100335002,370710335002,72,7
G37007100335003,370710335003,79,8
G37007100335004,370710335004,60,5
G37007309701001,370739701001,54,4
G37007309701002,370739701002,71,7
G37007309701003,370739701003,67,6
G37007309701004,370739701004,70,7
G37007309702001,370739702001,45,3
G37007309702002,370739702002,61,5
G37007309702003,370739702003,59,5
G37007309703001,370739703001,52,4
G37007309703002,370739703002,49,4
G37007309703003,370739703003,46,3
G37007509201001,370759201001,69,6
G37007509201002,370759201002,57,5
G37007509202001,370759202001,50,4
G37007509202002,370759202002,77,8
G37007509203001,370759203001,82,8
G37007509203002,370759203002,70,7
G37007509203003,370759203003,95,10
G37007509203004,370759203004,78,8
G37007709701011,370779701011,52,4
G37007709701012,370779701012,76,8
G37007709701013,370779701013,84,9
G37007709701021,370779701021,57,5
G37007709701022,370779701022,67,6
G37007709702001,370779702001,31,2
G37007709702002,370779702002,42,3
G37007709702003,370779702003,79,8
G37007709703001,370779703001,75,7
G37007709703002,370779703002,57,5
G37007709703003,370779703003,73,7
G37007709704001,370779704001,37,3
G37007709704002,370779704002,89,9
G37007709704003,370779704003,93,10
G37007709705001,370779705001,65,6
G37007709705002,370779705002,50,4
G37007709705003,370779705003,65,6
G37007709706011,370779706011,45,3
G37007709706012,370779706012,45,3
G37007709706021,370779706021,31,2
